minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
9,0.8580000305175781,0.32099998474121094,Marius Wolf,RightFoot,BlockedShot,Freiburg,Augsburg,Kristijan Jakic,0.044073332101106644
26,0.8330000305175781,0.605999984741211,Kristijan Jakic,LeftFoot,BlockedShot,Freiburg,Augsburg,Dimitris Giannoulis,0.05789034441113472
31,0.8369999694824218,0.580999984741211,Dimitris Giannoulis,LeftFoot,Goal,Freiburg,Augsburg,,0.05894609913229942
41,0.945,0.49,Chrislain Matsima,Head,Goal,Freiburg,Augsburg,Mert Kömür,0.29281583428382874
44,0.8109999847412109,0.6869999694824219,Dimitris Giannoulis,LeftFoot,BlockedShot,Freiburg,Augsburg,,0.057707030326128006
46,0.8930000305175781,0.38599998474121094,Marius Wolf,RightFoot,Goal,Freiburg,Augsburg,,0.4427255392074585
51,0.8019999694824219,0.59,Kristijan Jakic,RightFoot,SavedShot,Freiburg,Augsburg,,0.060029905289411545
53,0.909000015258789,0.4420000076293945,Robin Fellhauer,Head,MissedShots,Freiburg,Augsburg,Marius Wolf,0.0820373147726059
69,0.8009999847412109,0.6880000305175781,Robin Fellhauer,RightFoot,MissedShots,Freiburg,Augsburg,Elias Saad,0.025832515209913254
74,0.8830000305175781,0.36700000762939455,Mert Kömür,RightFoot,BlockedShot,Freiburg,Augsburg,Elvis Rexhbecaj,0.107814259827137
77,0.76,0.6370000076293946,Phillip Tietz,RightFoot,BlockedShot,Freiburg,Augsburg,,0.06247353553771973
83,0.75,0.34200000762939453,Jeffrey Gouweleeuw,RightFoot,SavedShot,Freiburg,Augsburg,,0.00956186093389988
3,0.8880000305175781,0.28899999618530275,Marius Wolf,LeftFoot,BlockedShot,Augsburg,Bayern Munich,Mert Kömür,0.03750823065638542
4,0.7680000305175781,0.6930000305175781,Han-Noah Massengo,LeftFoot,MissedShots,Augsburg,Bayern Munich,,0.015303102321922779
18,0.889000015258789,0.27399999618530274,Han-Noah Massengo,RightFoot,MissedShots,Augsburg,Bayern Munich,Marius Wolf,0.0395846962928772
51,0.835999984741211,0.3820000076293945,Robin Fellhauer,RightFoot,MissedShots,Augsburg,Bayern Munich,Elias Saad,0.05173633620142937
52,0.9119999694824219,0.5259999847412109,Kristijan Jakic,RightFoot,Goal,Augsburg,Bayern Munich,Robin Fellhauer,0.08560773730278015
57,0.9880000305175781,0.6719999694824219,Mert Kömür,LeftFoot,MissedShots,Augsburg,Bayern Munich,,0.053088799118995667
68,0.755,0.509000015258789,Mert Kömür,RightFoot,SavedShot,Augsburg,Bayern Munich,Elvis Rexhbecaj,0.023530149832367897
75,0.9169999694824219,0.67,Mert Kömür,RightFoot,Goal,Augsburg,Bayern Munich,Kristijan Jakic,0.07707496732473373
83,0.75,0.53,Anton Kade,RightFoot,MissedShots,Augsburg,Bayern Munich,,0.017675844952464104
89,0.9130000305175782,0.5159999847412109,Mert Kömür,Head,MissedShots,Augsburg,Bayern Munich,Kristijan Jakic,0.10491795837879181
1,0.845999984741211,0.24399999618530274,Marius Wolf,LeftFoot,SavedShot,St. Pauli,Augsburg,Jeffrey Gouweleeuw,0.029164796695113182
15,0.9490000152587891,0.45799999237060546,Fabian Rieder,Head,Goal,St. Pauli,Augsburg,Han-Noah Massengo,0.48449429869651794
27,0.7630000305175781,0.7090000152587891,Mert Kömür,RightFoot,MissedShots,St. Pauli,Augsburg,,0.021845929324626923
47,0.72,0.5309999847412109,Elias Saad,RightFoot,MissedShots,St. Pauli,Augsburg,Mert Kömür,0.08223506808280945
