minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
5,0.915,0.5170000076293946,Jarell Quansah,Head,Goal,Bayer Leverkusen,Hoffenheim,Álex Grimaldo,0.3566838204860687
28,0.7319999694824219,0.7480000305175781,Álex Grimaldo,LeftFoot,BlockedShot,Bayer Leverkusen,Hoffenheim,Nathan Tella,0.012992682866752148
33,0.7219999694824218,0.47299999237060547,Nathan Tella,RightFoot,BlockedShot,Bayer Leverkusen,Hoffenheim,Edmond Tapsoba,0.027547774836421013
42,0.965,0.46599998474121096,Piero Hincapié,OtherBodyPart,SavedShot,Bayer Leverkusen,Hoffenheim,,0.45764651894569397
59,0.745,0.3770000076293945,Álex Grimaldo,LeftFoot,BlockedShot,Bayer Leverkusen,Hoffenheim,Nathan Tella,0.02689678594470024
62,0.7709999847412109,0.6459999847412109,Aleix García,RightFoot,MissedShots,Bayer Leverkusen,Hoffenheim,,0.067913718521595
77,0.9080000305175782,0.34700000762939454,Nathan Tella,RightFoot,MissedShots,Bayer Leverkusen,Hoffenheim,Álex Grimaldo,0.04323401302099228
93,0.870999984741211,0.6659999847412109,Piero Hincapié,LeftFoot,MissedShots,Bayer Leverkusen,Hoffenheim,Álex Grimaldo,0.05961078777909279
4,0.9080000305175782,0.54,Patrik Schick,LeftFoot,Goal,Werder Bremen,Bayer Leverkusen,Nathan Tella,0.45407834649086
23,0.8730000305175781,0.6919999694824219,Aleix García,RightFoot,MissedShots,Werder Bremen,Bayer Leverkusen,Christian Kofane,0.06764637678861618
34,0.9109999847412109,0.44099998474121094,Malik Tillman,LeftFoot,Goal,Werder Bremen,Bayer Leverkusen,,0.11093556880950928
45,0.8980000305175782,0.3129999923706055,Christian Kofane,RightFoot,ShotOnPost,Werder Bremen,Bayer Leverkusen,,0.33145806193351746
49,0.7859999847412109,0.585999984741211,Álex Grimaldo,LeftFoot,BlockedShot,Werder Bremen,Bayer Leverkusen,,0.09696654230356216
54,0.8669999694824219,0.2989999961853027,Christian Kofane,RightFoot,SavedShot,Werder Bremen,Bayer Leverkusen,Álex Grimaldo,0.06839663535356522
63,0.885,0.5,Patrik Schick,LeftFoot,Goal,Werder Bremen,Bayer Leverkusen,,0.75777667760849
73,0.765,0.47900001525878905,Nathan Tella,RightFoot,BlockedShot,Werder Bremen,Bayer Leverkusen,Claudio Echeverri,0.04052872955799103
73,0.7430000305175781,0.7080000305175781,Edmond Tapsoba,RightFoot,BlockedShot,Werder Bremen,Bayer Leverkusen,,0.014618084765970707
74,0.8959999847412109,0.47400001525878904,Edmond Tapsoba,RightFoot,MissedShots,Werder Bremen,Bayer Leverkusen,Jarell Quansah,0.09492102265357971
9,0.740999984741211,0.4909999847412109,Álex Grimaldo,LeftFoot,Goal,Bayer Leverkusen,Eintracht Frankfurt,,0.06252634525299072
16,0.8619999694824219,0.38299999237060545,Nathan Tella,LeftFoot,MissedShots,Bayer Leverkusen,Eintracht Frankfurt,Malik Tillman,0.06948254257440567
18,0.955,0.514000015258789,Jarell Quansah,Head,SavedShot,Bayer Leverkusen,Eintracht Frankfurt,Álex Grimaldo,0.08630641549825668
22,0.794000015258789,0.7,Patrik Schick,LeftFoot,MissedShots,Bayer Leverkusen,Eintracht Frankfurt,Nathan Tella,0.04810930788516998
23,0.8180000305175781,0.3220000076293945,Lucas Vázquez,LeftFoot,MissedShots,Bayer Leverkusen,Eintracht Frankfurt,,0.04697100445628166
30,0.8080000305175781,0.529000015258789,Aleix García,RightFoot,SavedShot,Bayer Leverkusen,Eintracht Frankfurt,Nathan Tella,0.06537147611379623
30,0.915,0.32099998474121094,Lucas Vázquez,RightFoot,MissedShots,Bayer Leverkusen,Eintracht Frankfurt,,0.3346852958202362
34,0.8009999847412109,0.4109999847412109,Malik Tillman,RightFoot,BlockedShot,Bayer Leverkusen,Eintracht Frankfurt,Patrik Schick,0.04438023269176483
35,0.8519999694824218,0.4909999847412109,Loic Bade,Head,SavedShot,Bayer Leverkusen,Eintracht Frankfurt,,0.014425745233893394
43,0.895,0.664000015258789,Malik Tillman,LeftFoot,MissedShots,Bayer Leverkusen,Eintracht Frankfurt,Nathan Tella,0.08379573374986649
48,0.885,0.5,Patrik Schick,LeftFoot,Goal,Bayer Leverkusen,Eintracht Frankfurt,,0.75777667760849
55,0.9080000305175782,0.44599998474121094,Nathan Tella,RightFoot,BlockedShot,Bayer Leverkusen,Eintracht Frankfurt,Lucas Vázquez,0.44288140535354614
56,0.96,0.66,Malik Tillman,Head,MissedShots,Bayer Leverkusen,Eintracht Frankfurt,Aleix García,0.012139414437115192
80,0.7419999694824219,0.55,Ezequiél Fernández,RightFoot,MissedShots,Bayer Leverkusen,Eintracht Frankfurt,Álex Grimaldo,0.02385524846613407
84,0.9230000305175782,0.37,Axel Tape,LeftFoot,SavedShot,Bayer Leverkusen,Eintracht Frankfurt,Mark Flekken,0.07206714153289795
