minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
42,0.049000000953674315,0.44299999237060544,Loic Bade,RightFoot,OwnGoal,Bayern Munich,Bayer Leverkusen,,0
3,0.9409999847412109,0.24700000762939453,Michael Olise,RightFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,Serge Gnabry,0.05909460783004761
10,0.899000015258789,0.29399999618530276,Konrad Laimer,RightFoot,SavedShot,Bayern Munich,RasenBallsport Leipzig,Harry Kane,0.28661295771598816
15,0.785,0.5579999923706055,Serge Gnabry,LeftFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,Harry Kane,0.03585360199213028
24,0.8640000152587891,0.43200000762939456,Harry Kane,RightFoot,MissedShots,Bayern Munich,RasenBallsport Leipzig,Joshua Kimmich,0.12117602676153183
26,0.879000015258789,0.35400001525878905,Michael Olise,RightFoot,Goal,Bayern Munich,RasenBallsport Leipzig,,0.06916379928588867
31,0.879000015258789,0.45799999237060546,Luis Díaz,RightFoot,Goal,Bayern Munich,RasenBallsport Leipzig,Serge Gnabry,0.4198751151561737
35,0.784000015258789,0.28700000762939454,Michael Olise,LeftFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,,0.058959171175956726
35,0.924000015258789,0.32799999237060545,Harry Kane,RightFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,,0.05382798612117767
39,0.8340000152587891,0.5620000076293945,Serge Gnabry,LeftFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,Luis Díaz,0.10655874013900757
41,0.914000015258789,0.43,Michael Olise,LeftFoot,Goal,Bayern Munich,RasenBallsport Leipzig,Serge Gnabry,0.43276408314704895
50,0.9359999847412109,0.5790000152587891,Leon Goretzka,Head,MissedShots,Bayern Munich,RasenBallsport Leipzig,Joshua Kimmich,0.08298436552286148
59,0.7569999694824219,0.3990000152587891,Michael Olise,LeftFoot,MissedShots,Bayern Munich,RasenBallsport Leipzig,Joshua Kimmich,0.03839855641126633
63,0.955,0.5870000076293945,Harry Kane,RightFoot,Goal,Bayern Munich,RasenBallsport Leipzig,Luis Díaz,0.6798102855682373
73,0.85,0.7190000152587891,Harry Kane,RightFoot,Goal,Bayern Munich,RasenBallsport Leipzig,Luis Díaz,0.05273452028632164
77,0.9259999847412109,0.6270000076293946,Harry Kane,LeftFoot,Goal,Bayern Munich,RasenBallsport Leipzig,Kim Min-Jae,0.3288537859916687
79,0.76,0.40299999237060546,Lennart Karl,LeftFoot,SavedShot,Bayern Munich,RasenBallsport Leipzig,Sacha Boey,0.034763552248477936
80,0.8,0.20299999237060548,Joshua Kimmich,RightFoot,MissedShots,Bayern Munich,RasenBallsport Leipzig,Michael Olise,0.017178764566779137
86,0.81,0.2510000038146973,Lennart Karl,LeftFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,Luis Díaz,0.044700074940919876
91,0.945,0.32099998474121094,Lennart Karl,RightFoot,SavedShot,Bayern Munich,RasenBallsport Leipzig,,0.3787173926830292
2,0.8080000305175781,0.33099998474121095,Michael Olise,LeftFoot,SavedShot,Augsburg,Bayern Munich,,0.26495444774627686
5,0.8480000305175781,0.4779999923706055,Konrad Laimer,LeftFoot,BlockedShot,Augsburg,Bayern Munich,,0.0708450973033905
11,0.774000015258789,0.295,Serge Gnabry,RightFoot,MissedShots,Augsburg,Bayern Munich,,0.014599351212382317
15,0.8530000305175781,0.705,Luis Díaz,RightFoot,MissedShots,Augsburg,Bayern Munich,Michael Olise,0.034382812678813934
27,0.9159999847412109,0.4779999923706055,Serge Gnabry,Head,Goal,Augsburg,Bayern Munich,Harry Kane,0.40905410051345825
32,0.8490000152587891,0.265,Michael Olise,LeftFoot,SavedShot,Augsburg,Bayern Munich,Konrad Laimer,0.03736910969018936
39,0.845,0.625999984741211,Josip Stanisic,LeftFoot,MissedShots,Augsburg,Bayern Munich,,0.07055993378162384
46,0.8880000305175781,0.6509999847412109,Leon Goretzka,RightFoot,SavedShot,Augsburg,Bayern Munich,Harry Kane,0.10144813358783722
47,0.885,0.5429999923706055,Michael Olise,RightFoot,Goal,Augsburg,Bayern Munich,Harry Kane,0.29185524582862854
48,0.925,0.4570000076293945,Luis Díaz,LeftFoot,Goal,Augsburg,Bayern Munich,Konrad Laimer,0.5405349731445312
50,0.9069999694824219,0.38799999237060545,Konrad Laimer,RightFoot,SavedShot,Augsburg,Bayern Munich,Harry Kane,0.4404054880142212
55,0.8040000152587891,0.34,Michael Olise,LeftFoot,BlockedShot,Augsburg,Bayern Munich,Luis Díaz,0.033771343529224396
66,0.9590000152587891,0.705,Luis Díaz,LeftFoot,MissedShots,Augsburg,Bayern Munich,Serge Gnabry,0.07014427334070206
76,0.89,0.355,Michael Olise,LeftFoot,SavedShot,Augsburg,Bayern Munich,,0.347354531288147
76,0.8130000305175781,0.3770000076293945,Sacha Boey,LeftFoot,MissedShots,Augsburg,Bayern Munich,,0.04310408607125282
86,0.965999984741211,0.585,Dayotchanculle Upamecano,Head,SavedShot,Augsburg,Bayern Munich,Joshua Kimmich,0.1107073575258255
93,0.9019999694824219,0.44799999237060545,Luis Díaz,RightFoot,BlockedShot,Augsburg,Bayern Munich,Michael Olise,0.13505972921848297
93,0.9230000305175782,0.46099998474121096,Luis Díaz,RightFoot,BlockedShot,Augsburg,Bayern Munich,,0.15179112553596497
101,0.9169999694824219,0.6120000076293945,Luis Díaz,RightFoot,SavedShot,Augsburg,Bayern Munich,Joshua Kimmich,0.1338035762310028
102,0.860999984741211,0.4879999923706055,Michael Olise,LeftFoot,BlockedShot,Augsburg,Bayern Munich,Raphael Guerreiro,0.10896261781454086
1,0.8959999847412109,0.18299999237060546,Michael Olise,LeftFoot,BlockedShot,Bayern Munich,Hamburger SV,,0.0640980675816536
2,0.9019999694824219,0.2510000038146973,Serge Gnabry,RightFoot,Goal,Bayern Munich,Hamburger SV,Konrad Laimer,0.028756460174918175
8,0.9259999847412109,0.3770000076293945,Aleksandar Pavlovic,RightFoot,Goal,Bayern Munich,Hamburger SV,Harry Kane,0.3829314112663269
12,0.8090000152587891,0.5170000076293946,Michael Olise,LeftFoot,SavedShot,Bayern Munich,Hamburger SV,Harry Kane,0.14097371697425842
20,0.9769999694824218,0.6079999923706054,Luis Díaz,RightFoot,SavedShot,Bayern Munich,Hamburger SV,Harry Kane,0.15121322870254517
25,0.885,0.5,Harry Kane,RightFoot,Goal,Bayern Munich,Hamburger SV,,0.75777667760849
28,0.7719999694824219,0.6659999847412109,Luis Díaz,RightFoot,Goal,Bayern Munich,Hamburger SV,Joshua Kimmich,0.021683216094970703
30,0.919000015258789,0.605,Luis Díaz,LeftFoot,MissedShots,Bayern Munich,Hamburger SV,Konrad Laimer,0.40657147765159607
32,0.9059999847412109,0.7430000305175781,Serge Gnabry,RightFoot,BlockedShot,Bayern Munich,Hamburger SV,Konrad Laimer,0.03272626921534538
37,0.6519999694824219,0.435,Luis Díaz,RightFoot,SavedShot,Bayern Munich,Hamburger SV,Serge Gnabry,0.011147848330438137
