minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
15,0.95,0.49700000762939456,Haris Tabakovic,Head,MissedShots,Borussia M.Gladbach,Hamburger SV,Kevin Stöger,0.0844176709651947
18,0.9030000305175782,0.659000015258789,Philipp Sander,Head,SavedShot,Borussia M.Gladbach,Hamburger SV,Lukas Ullrich,0.007758865132927895
27,0.9340000152587891,0.305,Franck Honorat,RightFoot,SavedShot,Borussia M.Gladbach,Hamburger SV,Kevin Stöger,0.05609827861189842
33,0.7730000305175782,0.3110000038146973,Philipp Sander,RightFoot,MissedShots,Borussia M.Gladbach,Hamburger SV,Franck Honorat,0.018375998362898827
37,0.9480000305175781,0.46700000762939453,Haris Tabakovic,Head,MissedShots,Borussia M.Gladbach,Hamburger SV,Robin Hack,0.07263746857643127
43,0.9080000305175782,0.5070000076293946,Haris Tabakovic,Head,MissedShots,Borussia M.Gladbach,Hamburger SV,Robin Hack,0.30614063143730164
55,0.6940000152587891,0.3679999923706055,Robin Hack,RightFoot,MissedShots,Borussia M.Gladbach,Hamburger SV,Nico Elvedi,0.017577076330780983
59,0.7630000305175781,0.47299999237060547,Rocco Reitz,RightFoot,SavedShot,Borussia M.Gladbach,Hamburger SV,,0.024924667552113533
60,0.7830000305175782,0.6140000152587891,Kevin Stöger,LeftFoot,MissedShots,Borussia M.Gladbach,Hamburger SV,Lukas Ullrich,0.031524233520030975
62,0.9169999694824219,0.4279999923706055,Rocco Reitz,Head,MissedShots,Borussia M.Gladbach,Hamburger SV,Franck Honorat,0.021884245797991753
64,0.8030000305175782,0.645,Rocco Reitz,RightFoot,SavedShot,Borussia M.Gladbach,Hamburger SV,Robin Hack,0.033729515969753265
65,0.7469999694824219,0.4570000076293945,Philipp Sander,LeftFoot,MissedShots,Borussia M.Gladbach,Hamburger SV,Joe Scally,0.029841387644410133
66,0.8030000305175782,0.575999984741211,Florian Neuhaus,RightFoot,BlockedShot,Borussia M.Gladbach,Hamburger SV,Robin Hack,0.04048234596848488
69,0.9209999847412109,0.46,Haris Tabakovic,Head,BlockedShot,Borussia M.Gladbach,Hamburger SV,Franck Honorat,0.055404212325811386
69,0.9230000305175782,0.32799999237060545,Rocco Reitz,RightFoot,BlockedShot,Borussia M.Gladbach,Hamburger SV,,0.06028549745678902
72,0.7780000305175782,0.519000015258789,Robin Hack,RightFoot,BlockedShot,Borussia M.Gladbach,Hamburger SV,Florian Neuhaus,0.03410051017999649
91,0.9169999694824219,0.4640000152587891,Kevin Diks,Head,MissedShots,Borussia M.Gladbach,Hamburger SV,Rocco Reitz,0.12198963761329651
20,0.9009999847412109,0.649000015258789,Lukas Ullrich,RightFoot,MissedShots,VfB Stuttgart,Borussia M.Gladbach,Robin Hack,0.07429344952106476
24,0.9259999847412109,0.54,Philipp Sander,Head,SavedShot,VfB Stuttgart,Borussia M.Gladbach,Kevin Stöger,0.09537415951490402
35,0.975999984741211,0.35400001525878905,Joe Scally,RightFoot,SavedShot,VfB Stuttgart,Borussia M.Gladbach,Rocco Reitz,0.2762179374694824
35,0.9430000305175781,0.4640000152587891,Philipp Sander,Head,MissedShots,VfB Stuttgart,Borussia M.Gladbach,,0.10109259933233261
40,0.8630000305175781,0.36,Franck Honorat,RightFoot,SavedShot,VfB Stuttgart,Borussia M.Gladbach,Robin Hack,0.08184649050235748
48,0.9290000152587891,0.435,Kevin Diks,RightFoot,MissedShots,VfB Stuttgart,Borussia M.Gladbach,Franck Honorat,0.0855984091758728
49,0.87,0.46599998474121096,Franck Honorat,LeftFoot,BlockedShot,VfB Stuttgart,Borussia M.Gladbach,,0.078264519572258
50,0.9169999694824219,0.5659999847412109,Kevin Stöger,LeftFoot,MissedShots,VfB Stuttgart,Borussia M.Gladbach,,0.44716134667396545
51,0.9680000305175781,0.41700000762939454,Shuto Machino,Head,MissedShots,VfB Stuttgart,Borussia M.Gladbach,Franck Honorat,0.058919522911310196
59,0.84,0.45299999237060545,Robin Hack,RightFoot,SavedShot,VfB Stuttgart,Borussia M.Gladbach,Joe Scally,0.046248313039541245
71,0.825,0.7069999694824218,Robin Hack,RightFoot,SavedShot,VfB Stuttgart,Borussia M.Gladbach,Lukas Ullrich,0.033629000186920166
81,0.8909999847412109,0.6940000152587891,Robin Hack,LeftFoot,MissedShots,VfB Stuttgart,Borussia M.Gladbach,Kevin Stöger,0.042496904730796814
