minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
2,0.965,0.59,Rasmus Kristensen,Head,MissedShots,Eintracht Frankfurt,Werder Bremen,Farès Chaïbi,0.07803063839673996
2,0.985,0.47700000762939454,Jonathan Burkardt,RightFoot,ShotOnPost,Eintracht Frankfurt,Werder Bremen,Rasmus Kristensen,0.9524935483932495
4,0.874000015258789,0.655,Jean Négoce,LeftFoot,MissedShots,Eintracht Frankfurt,Werder Bremen,,0.022190775722265244
6,0.975999984741211,0.4129999923706055,Jonathan Burkardt,RightFoot,BlockedShot,Eintracht Frankfurt,Werder Bremen,Rasmus Kristensen,0.0965542197227478
16,0.924000015258789,0.43900001525878907,Ritsu Doan,Head,MissedShots,Eintracht Frankfurt,Werder Bremen,Jean Négoce,0.12101343274116516
17,0.9619999694824218,0.5929999923706055,Jonathan Burkardt,RightFoot,MissedShots,Eintracht Frankfurt,Werder Bremen,Ritsu Doan,0.38538500666618347
21,0.764000015258789,0.43099998474121093,Can Uzun,RightFoot,Goal,Eintracht Frankfurt,Werder Bremen,Hugo Larsson,0.027007564902305603
24,0.924000015258789,0.5259999847412109,Jean Négoce,Head,Goal,Eintracht Frankfurt,Werder Bremen,Can Uzun,0.36288249492645264
37,0.9130000305175782,0.64,Jean Négoce,RightFoot,BlockedShot,Eintracht Frankfurt,Werder Bremen,Rasmus Kristensen,0.07938982546329498
46,0.904000015258789,0.555,Jean Négoce,RightFoot,Goal,Eintracht Frankfurt,Werder Bremen,Can Uzun,0.48141375184059143
55,0.88,0.43,Ritsu Doan,LeftFoot,BlockedShot,Eintracht Frankfurt,Werder Bremen,Jean Négoce,0.13043002784252167
55,0.7519999694824219,0.40599998474121096,Rasmus Kristensen,LeftFoot,MissedShots,Eintracht Frankfurt,Werder Bremen,,0.01687132939696312
58,0.9080000305175782,0.3970000076293945,Jonathan Burkardt,Head,MissedShots,Eintracht Frankfurt,Werder Bremen,Ritsu Doan,0.050240110605955124
66,0.7680000305175781,0.8109999847412109,Farès Chaïbi,RightFoot,MissedShots,Eintracht Frankfurt,Werder Bremen,,0.0348612517118454
69,0.9019999694824219,0.6780000305175782,Ansgar Knauff,LeftFoot,Goal,Eintracht Frankfurt,Werder Bremen,Farès Chaïbi,0.11022617667913437
71,0.8480000305175781,0.69,Ansgar Knauff,RightFoot,BlockedShot,Eintracht Frankfurt,Werder Bremen,Sepe Elye Wahi,0.10491207242012024
