minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
27,0.8880000305175781,0.37900001525878907,Sebastian Sebulonsen,RightFoot,MissedShots,Mainz 05,FC Cologne,Jakub Kaminski,0.09572658687829971
44,0.9,0.6430000305175781,Jakub Kaminski,RightFoot,SavedShot,Mainz 05,FC Cologne,Marius Bülter,0.08857302367687225
45,0.8580000305175781,0.64,Jan Thielmann,RightFoot,BlockedShot,Mainz 05,FC Cologne,Eric Martel,0.038625188171863556
47,0.9390000152587891,0.590999984741211,Jan Thielmann,RightFoot,MissedShots,Mainz 05,FC Cologne,Marius Bülter,0.3466653525829315
48,0.7390000152587891,0.649000015258789,Kristoffer Lund,LeftFoot,MissedShots,Mainz 05,FC Cologne,,0.01614297740161419
52,0.8569999694824219,0.61,Jan Thielmann,RightFoot,MissedShots,Mainz 05,FC Cologne,Jakub Kaminski,0.06994213163852692
62,0.759000015258789,0.6359999847412109,Jakub Kaminski,RightFoot,MissedShots,Mainz 05,FC Cologne,,0.062022846192121506
68,0.7669999694824219,0.5590000152587891,Jakub Kaminski,RightFoot,MissedShots,Mainz 05,FC Cologne,,0.025399206206202507
73,0.9459999847412109,0.519000015258789,Cenk Özkacar,Head,MissedShots,Mainz 05,FC Cologne,Jakub Kaminski,0.45917749404907227
77,0.7730000305175782,0.6969999694824218,Jakub Kaminski,RightFoot,BlockedShot,Mainz 05,FC Cologne,Said El Mala,0.016822464764118195
79,0.895,0.7630000305175781,Said El Mala,RightFoot,MissedShots,Mainz 05,FC Cologne,Jakub Kaminski,0.031024577096104622
89,0.9330000305175781,0.5259999847412109,Marius Bülter,Head,Goal,Mainz 05,FC Cologne,Gian-Luca Waldschmidt,0.3966406285762787
4,0.815,0.610999984741211,Kristoffer Lund,LeftFoot,MissedShots,FC Cologne,Freiburg,Jakub Kaminski,0.042377181351184845
10,0.9119999694824219,0.5929999923706055,Jan Thielmann,Head,MissedShots,FC Cologne,Freiburg,Jakub Kaminski,0.04592173919081688
15,0.8440000152587891,0.5720000076293945,Ísak Bergmann Jóhannesson,LeftFoot,BlockedShot,FC Cologne,Freiburg,Jakub Kaminski,0.09732966125011444
22,0.8880000305175781,0.34599998474121096,Jan Thielmann,RightFoot,SavedShot,FC Cologne,Freiburg,Kristoffer Lund,0.031394269317388535
26,0.8869999694824219,0.5879999923706055,Denis Huseinbasic,RightFoot,BlockedShot,FC Cologne,Freiburg,,0.0805036723613739
26,0.735,0.3110000038146973,Sebastian Sebulonsen,RightFoot,BlockedShot,FC Cologne,Freiburg,,0.011128470301628113
34,0.9580000305175781,0.5590000152587891,Jakub Kaminski,RightFoot,Goal,FC Cologne,Freiburg,Marius Bülter,0.43518927693367004
45,0.805,0.38,Jakub Kaminski,RightFoot,MissedShots,FC Cologne,Freiburg,Jan Thielmann,0.06479454040527344
46,0.9490000152587891,0.600999984741211,Marius Bülter,Head,Goal,FC Cologne,Freiburg,Jan Thielmann,0.23779822885990143
