minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
1,0.73,0.24899999618530275,Giorgi Gocholeishvili,RightFoot,MissedShots,Borussia M.Gladbach,Hamburger SV,Emir Sahiti,0.013570391573011875
1,0.9,0.5670000076293945,Ransford Königsdörffer,RightFoot,BlockedShot,Borussia M.Gladbach,Hamburger SV,,0.09137719869613647
66,0.8080000305175781,0.675,Alexander Røssing-Lelesiit,RightFoot,SavedShot,Borussia M.Gladbach,Hamburger SV,Miro Muheim,0.029598575085401535
74,0.784000015258789,0.735,Jean-Luc Dompe,RightFoot,MissedShots,Borussia M.Gladbach,Hamburger SV,Miro Muheim,0.016960950568318367
78,0.8209999847412109,0.4179999923706055,Rayan Philippe,LeftFoot,BlockedShot,Borussia M.Gladbach,Hamburger SV,Giorgi Gocholeishvili,0.059872016310691833
78,0.7319999694824219,0.39099998474121095,Nicolai Remberg,RightFoot,MissedShots,Borussia M.Gladbach,Hamburger SV,,0.012823143973946571
88,0.9340000152587891,0.5129999923706055,Yussuf Poulsen,Head,BlockedShot,Borussia M.Gladbach,Hamburger SV,Jean-Luc Dompe,0.062158361077308655
2,0.7180000305175781,0.5070000076293946,Nicolás Capaldo,RightFoot,BlockedShot,Hamburger SV,St. Pauli,,0.01238358672708273
3,0.8690000152587891,0.4829999923706055,Ransford Königsdörffer,Head,MissedShots,Hamburger SV,St. Pauli,Miro Muheim,0.03565148264169693
52,0.7969999694824219,0.5670000076293945,Miro Muheim,LeftFoot,SavedShot,Hamburger SV,St. Pauli,,0.11736661195755005
54,0.7380000305175781,0.7080000305175781,Miro Muheim,LeftFoot,MissedShots,Hamburger SV,St. Pauli,,0.04077348858118057
68,0.915,0.5170000076293946,Ransford Königsdörffer,Head,SavedShot,Hamburger SV,St. Pauli,Nicolás Capaldo,0.5349349975585938
17,0.9059999847412109,0.4209999847412109,William Mikelbrencis,LeftFoot,SavedShot,Bayern Munich,Hamburger SV,Nicolai Remberg,0.2197686731815338
26,0.86,0.7469999694824219,Ransford Königsdörffer,RightFoot,BlockedShot,Bayern Munich,Hamburger SV,Miro Muheim,0.027630841359496117
27,0.9169999694824219,0.47,Luka Vuskovic,Head,MissedShots,Bayern Munich,Hamburger SV,,0.04538803920149803
30,0.8419999694824218,0.4179999923706055,Warmed Omari,Head,MissedShots,Bayern Munich,Hamburger SV,Fábio Vieira,0.017165550962090492
35,0.8640000152587891,0.395,Nicolás Capaldo,Head,BlockedShot,Bayern Munich,Hamburger SV,Fábio Vieira,0.00825013592839241
46,0.86,0.295,William Mikelbrencis,RightFoot,SavedShot,Bayern Munich,Hamburger SV,Warmed Omari,0.07180248945951462
71,0.914000015258789,0.664000015258789,Fábio Vieira,LeftFoot,BlockedShot,Bayern Munich,Hamburger SV,Rayan Philippe,0.047944117337465286
81,0.9330000305175781,0.47400001525878904,Robert Glatzel,Head,MissedShots,Bayern Munich,Hamburger SV,Rayan Philippe,0.08691386878490448
91,0.8959999847412109,0.37400001525878906,Robert Glatzel,Head,MissedShots,Bayern Munich,Hamburger SV,Miro Muheim,0.03431055694818497
5,0.8140000152587891,0.665,Giorgi Gocholeishvili,RightFoot,BlockedShot,Hamburger SV,FC Heidenheim,Jean-Luc Dompe,0.05545782297849655
16,0.919000015258789,0.42400001525878905,Ransford Königsdörffer,Head,SavedShot,Hamburger SV,FC Heidenheim,Jean-Luc Dompe,0.09402240067720413
19,0.9330000305175781,0.6769999694824219,Daniel Elfadli,RightFoot,BlockedShot,Hamburger SV,FC Heidenheim,,0.059443190693855286
19,0.899000015258789,0.3579999923706055,Fábio Vieira,RightFoot,BlockedShot,Hamburger SV,FC Heidenheim,Warmed Omari,0.08482193946838379
24,0.7969999694824219,0.26899999618530274,Giorgi Gocholeishvili,LeftFoot,BlockedShot,Hamburger SV,FC Heidenheim,Ransford Königsdörffer,0.021434053778648376
26,0.8569999694824219,0.40599998474121096,Ransford Königsdörffer,RightFoot,SavedShot,Hamburger SV,FC Heidenheim,Fábio Vieira,0.31161901354789734
26,0.9490000152587891,0.53,Luka Vuskovic,LeftFoot,MissedShots,Hamburger SV,FC Heidenheim,Miro Muheim,0.4323178827762604
28,0.77,0.675,Jean-Luc Dompe,RightFoot,MissedShots,Hamburger SV,FC Heidenheim,Miro Muheim,0.035751041024923325
33,0.8719999694824219,0.6809999847412109,Fábio Vieira,LeftFoot,SavedShot,Hamburger SV,FC Heidenheim,,0.04833171144127846
40,0.8059999847412109,0.6619999694824219,Jean-Luc Dompe,RightFoot,BlockedShot,Hamburger SV,FC Heidenheim,,0.09095415472984314
40,0.9630000305175781,0.5570000076293945,Rayan Philippe,RightFoot,MissedShots,Hamburger SV,FC Heidenheim,,0.6184763312339783
41,0.925,0.45799999237060546,Luka Vuskovic,RightFoot,Goal,Hamburger SV,FC Heidenheim,,0.08458486199378967
51,0.914000015258789,0.725,Jean-Luc Dompe,RightFoot,SavedShot,Hamburger SV,FC Heidenheim,Miro Muheim,0.060147855430841446
51,0.740999984741211,0.7340000152587891,Nicolai Remberg,RightFoot,SavedShot,Hamburger SV,FC Heidenheim,Miro Muheim,0.016359375789761543
58,0.9490000152587891,0.44,Rayan Philippe,LeftFoot,Goal,Hamburger SV,FC Heidenheim,Fábio Vieira,0.5858636498451233
60,0.755,0.575999984741211,Giorgi Gocholeishvili,LeftFoot,MissedShots,Hamburger SV,FC Heidenheim,Ransford Königsdörffer,0.03538521006703377
61,0.9540000152587891,0.3529999923706055,Ransford Königsdörffer,RightFoot,MissedShots,Hamburger SV,FC Heidenheim,,0.11631147563457489
65,0.8519999694824218,0.700999984741211,Jean-Luc Dompe,RightFoot,SavedShot,Hamburger SV,FC Heidenheim,Fábio Vieira,0.09837409853935242
66,0.8580000305175781,0.4490000152587891,Fábio Vieira,LeftFoot,MissedShots,Hamburger SV,FC Heidenheim,,0.0898621454834938
71,0.8690000152587891,0.26299999237060545,Ransford Königsdörffer,RightFoot,SavedShot,Hamburger SV,FC Heidenheim,Rayan Philippe,0.047484513372182846
76,0.6880000305175781,0.575999984741211,Fábio Vieira,LeftFoot,MissedShots,Hamburger SV,FC Heidenheim,Albert Sambi Lokonga,0.016131147742271423
