minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
1,0.8909999847412109,0.54,Paul Nebel,LeftFoot,BlockedShot,Mainz 05,FC Cologne,Philipp Mwene,0.09557153284549713
1,0.8569999694824219,0.47,Anthony Caci,LeftFoot,BlockedShot,Mainz 05,FC Cologne,,0.07520602643489838
1,0.7530000305175781,0.5329999923706055,Kaishu Sano,RightFoot,BlockedShot,Mainz 05,FC Cologne,Anthony Caci,0.02203584462404251
28,0.8830000305175781,0.705999984741211,Jae-Sung Lee,LeftFoot,BlockedShot,Mainz 05,FC Cologne,Dominik Kohr,0.04304599016904831
28,0.9019999694824219,0.3890000152587891,Anthony Caci,Head,MissedShots,Mainz 05,FC Cologne,Philipp Mwene,0.022249065339565277
29,0.91,0.6819999694824219,Jae-Sung Lee,Head,BlockedShot,Mainz 05,FC Cologne,Paul Nebel,0.012758258730173111
31,0.8440000152587891,0.66,Anthony Caci,RightFoot,BlockedShot,Mainz 05,FC Cologne,Philipp Mwene,0.043587520718574524
32,0.8130000305175781,0.4129999923706055,Nadiem Amiri,RightFoot,MissedShots,Mainz 05,FC Cologne,Nelson Weiper,0.060412850230932236
57,0.7130000305175781,0.769000015258789,Nadiem Amiri,RightFoot,SavedShot,Mainz 05,FC Cologne,Dominik Kohr,0.015008852817118168
58,0.9530000305175781,0.6880000305175781,Paul Nebel,LeftFoot,BlockedShot,Mainz 05,FC Cologne,Andreas Hanche-Olsen,0.06218526139855385
65,0.8969999694824219,0.34900001525878904,Nelson Weiper,RightFoot,BlockedShot,Mainz 05,FC Cologne,Danny da Costa,0.029620902612805367
66,0.8980000305175782,0.355,Dominik Kohr,LeftFoot,BlockedShot,Mainz 05,FC Cologne,,0.06512962281703949
66,0.7559999847412109,0.44599998474121094,Kaishu Sano,LeftFoot,BlockedShot,Mainz 05,FC Cologne,,0.0190297719091177
71,0.855,0.575999984741211,Nelson Weiper,RightFoot,SavedShot,Mainz 05,FC Cologne,Danny da Costa,0.054392796009778976
81,0.875999984741211,0.4520000076293945,Silvan Widmer,LeftFoot,BlockedShot,Mainz 05,FC Cologne,Dominik Kohr,0.11276505887508392
81,0.875999984741211,0.44799999237060545,Silvan Widmer,RightFoot,BlockedShot,Mainz 05,FC Cologne,Stefan Bell,0.11014555394649506
91,0.735999984741211,0.32799999237060545,Danny da Costa,RightFoot,MissedShots,Mainz 05,FC Cologne,,0.012439141981303692
99,0.9269999694824219,0.5659999847412109,Stefan Bell,Head,MissedShots,Mainz 05,FC Cologne,Philipp Mwene,0.04398755729198456
99,0.9309999847412109,0.46599998474121096,Jae-Sung Lee,Head,MissedShots,Mainz 05,FC Cologne,Stefan Bell,0.4198772609233856
4,0.8969999694824219,0.29399999618530276,Arnaud Nordin,RightFoot,BlockedShot,Wolfsburg,Mainz 05,,0.04636600241065025
11,0.7959999847412109,0.5079999923706054,Kaishu Sano,RightFoot,MissedShots,Wolfsburg,Mainz 05,Nelson Weiper,0.037157654762268066
19,0.960999984741211,0.40400001525878904,Jae-Sung Lee,LeftFoot,MissedShots,Wolfsburg,Mainz 05,Anthony Caci,0.08031164854764938
24,0.7819999694824219,0.27,Nadiem Amiri,RightFoot,BlockedShot,Wolfsburg,Mainz 05,Kaishu Sano,0.0192244965583086
24,0.9259999847412109,0.5790000152587891,Dominik Kohr,Head,SavedShot,Wolfsburg,Mainz 05,Nadiem Amiri,0.06946245580911636
31,0.8519999694824218,0.3970000076293945,Arnaud Nordin,LeftFoot,MissedShots,Wolfsburg,Mainz 05,,0.022481411695480347
45,0.865,0.3189999961853027,Anthony Caci,RightFoot,MissedShots,Wolfsburg,Mainz 05,,0.016541343182325363
46,0.9480000305175781,0.595,Jae-Sung Lee,Head,BlockedShot,Wolfsburg,Mainz 05,Nadiem Amiri,0.022389378398656845
66,0.9180000305175782,0.5070000076293946,Jae-Sung Lee,Head,BlockedShot,Wolfsburg,Mainz 05,Philipp Mwene,0.054791852831840515
67,0.9340000152587891,0.37599998474121094,Andreas Hanche-Olsen,RightFoot,BlockedShot,Wolfsburg,Mainz 05,Nadiem Amiri,0.04612107574939728
67,0.91,0.3579999923706055,Anthony Caci,RightFoot,MissedShots,Wolfsburg,Mainz 05,,0.07078326493501663
69,0.75,0.720999984741211,Nadiem Amiri,RightFoot,BlockedShot,Wolfsburg,Mainz 05,Armindo Sieb,0.014199001714587212
78,0.8909999847412109,0.495,Dominik Kohr,Head,ShotOnPost,Wolfsburg,Mainz 05,Nadiem Amiri,0.13963447511196136
78,0.879000015258789,0.41400001525878904,Kaishu Sano,RightFoot,MissedShots,Wolfsburg,Mainz 05,,0.08011022955179214
83,0.99,0.3629999923706055,Armindo Sieb,RightFoot,SavedShot,Wolfsburg,Mainz 05,Nadiem Amiri,0.05729534849524498
88,0.885,0.5,Nadiem Amiri,RightFoot,Goal,Wolfsburg,Mainz 05,,0.75777667760849
