minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
11,0.9309999847412109,0.475,Julian Chabot,Head,SavedShot,Union Berlin,VfB Stuttgart,Maximilian Mittelstädt,0.11645007878541946
11,0.8930000305175781,0.4109999847412109,Deniz Undav,RightFoot,BlockedShot,Union Berlin,VfB Stuttgart,Angelo Stiller,0.0640038549900055
20,0.9309999847412109,0.49599998474121093,Ermedin Demirovic,Head,MissedShots,Union Berlin,VfB Stuttgart,Jamie Leweling,0.11944705992937088
26,0.8169999694824219,0.5370000076293945,Maximilian Mittelstädt,RightFoot,MissedShots,Union Berlin,VfB Stuttgart,,0.04594109207391739
30,0.9730000305175781,0.41900001525878905,Joshua Vagnoman,RightFoot,MissedShots,Union Berlin,VfB Stuttgart,Maximilian Mittelstädt,0.3491556942462921
33,0.7240000152587891,0.4620000076293945,Jamie Leweling,RightFoot,SavedShot,Union Berlin,VfB Stuttgart,Luca Jaquez,0.030576899647712708
43,0.874000015258789,0.4179999923706055,Atakan Karazor,RightFoot,SavedShot,Union Berlin,VfB Stuttgart,Nick Woltemade,0.34767159819602966
43,0.8909999847412109,0.53,Jamie Leweling,LeftFoot,BlockedShot,Union Berlin,VfB Stuttgart,Ermedin Demirovic,0.11406365036964417
44,0.9680000305175781,0.40900001525878904,Deniz Undav,Head,MissedShots,Union Berlin,VfB Stuttgart,,0.029773972928524017
47,0.9059999847412109,0.3390000152587891,Julian Chabot,LeftFoot,MissedShots,Union Berlin,VfB Stuttgart,Angelo Stiller,0.05076934024691582
48,0.925,0.5509999847412109,Deniz Undav,Head,BlockedShot,Union Berlin,VfB Stuttgart,Ermedin Demirovic,0.0634501725435257
49,0.7240000152587891,0.4329999923706055,Maximilian Mittelstädt,LeftFoot,SavedShot,Union Berlin,VfB Stuttgart,,0.014401075430214405
56,0.915,0.48900001525878906,Atakan Karazor,Head,MissedShots,Union Berlin,VfB Stuttgart,Jamie Leweling,0.1305103749036789
64,0.779000015258789,0.4490000152587891,Tiago Tomás,RightFoot,BlockedShot,Union Berlin,VfB Stuttgart,,0.023352669551968575
77,0.7440000152587891,0.37,Deniz Undav,RightFoot,MissedShots,Union Berlin,VfB Stuttgart,Chris Führich,0.015530768781900406
78,0.855999984741211,0.534000015258789,Deniz Undav,Head,MissedShots,Union Berlin,VfB Stuttgart,Jamie Leweling,0.016943681985139847
79,0.8169999694824219,0.3129999923706055,Jamie Leweling,LeftFoot,BlockedShot,Union Berlin,VfB Stuttgart,Deniz Undav,0.02965901792049408
80,0.7730000305175782,0.69,Chris Führich,RightFoot,SavedShot,Union Berlin,VfB Stuttgart,Maximilian Mittelstädt,0.01974421925842762
85,0.9169999694824219,0.5359999847412109,Tiago Tomás,RightFoot,Goal,Union Berlin,VfB Stuttgart,Chris Führich,0.07701621204614639
87,0.91,0.4779999923706055,Lazar Jovanovic,Head,MissedShots,Union Berlin,VfB Stuttgart,Maximilian Mittelstädt,0.0999414473772049
97,0.915,0.5420000076293945,Chris Führich,Head,BlockedShot,Union Berlin,VfB Stuttgart,Lazar Jovanovic,0.0430651493370533
0,0.855,0.5879999923706055,Jamie Leweling,RightFoot,BlockedShot,VfB Stuttgart,Borussia M.Gladbach,Tiago Tomás,0.08785723149776459
16,0.9109999847412109,0.32099998474121094,Tiago Tomás,RightFoot,SavedShot,VfB Stuttgart,Borussia M.Gladbach,Chris Führich,0.22162885963916779
18,0.745999984741211,0.46700000762939453,Jamie Leweling,LeftFoot,SavedShot,VfB Stuttgart,Borussia M.Gladbach,Joshua Vagnoman,0.022732803598046303
18,0.8490000152587891,0.5620000076293945,Tiago Tomás,RightFoot,BlockedShot,VfB Stuttgart,Borussia M.Gladbach,,0.06751566380262375
46,0.830999984741211,0.515,Tiago Tomás,RightFoot,SavedShot,VfB Stuttgart,Borussia M.Gladbach,,0.023525064811110497
47,0.7769999694824219,0.6940000152587891,Jamie Leweling,RightFoot,MissedShots,VfB Stuttgart,Borussia M.Gladbach,Maximilian Mittelstädt,0.022497497498989105
49,0.7880000305175782,0.7080000305175781,Tiago Tomás,RightFoot,MissedShots,VfB Stuttgart,Borussia M.Gladbach,Alexander Nübel,0.0353020578622818
55,0.8980000305175782,0.31,Tiago Tomás,RightFoot,BlockedShot,VfB Stuttgart,Borussia M.Gladbach,Joshua Vagnoman,0.10918767005205154
58,0.8319999694824218,0.33,Tiago Tomás,LeftFoot,BlockedShot,VfB Stuttgart,Borussia M.Gladbach,,0.027560444548726082
60,0.7830000305175782,0.6179999923706054,Chris Führich,RightFoot,BlockedShot,VfB Stuttgart,Borussia M.Gladbach,Tiago Tomás,0.02840396761894226
62,0.960999984741211,0.3940000152587891,Joshua Vagnoman,Head,SavedShot,VfB Stuttgart,Borussia M.Gladbach,Maximilian Mittelstädt,0.07081487029790878
69,0.98,0.5840000152587891,Tiago Tomás,LeftFoot,MissedShots,VfB Stuttgart,Borussia M.Gladbach,Jamie Leweling,0.0934315174818039
78,0.9230000305175782,0.505,Chema Andres,Head,Goal,VfB Stuttgart,Borussia M.Gladbach,Jamie Leweling,0.1146472692489624
15,0.82,0.3390000152587891,Bilal El Khannouss,RightFoot,MissedShots,Freiburg,VfB Stuttgart,,0.03557426109910011
19,0.9119999694824219,0.445,Ermedin Demirovic,RightFoot,Goal,Freiburg,VfB Stuttgart,Jamie Leweling,0.0986967608332634
21,0.89,0.425,Joshua Vagnoman,Head,SavedShot,Freiburg,VfB Stuttgart,Badredine Bouanani,0.1111362874507904
60,0.79,0.4520000076293945,Bilal El Khannouss,RightFoot,BlockedShot,Freiburg,VfB Stuttgart,Badredine Bouanani,0.05209779366850853
62,0.805,0.47400001525878904,Jamie Leweling,LeftFoot,MissedShots,Freiburg,VfB Stuttgart,Bilal El Khannouss,0.06048642471432686
64,0.935,0.51,Ermedin Demirovic,Head,MissedShots,Freiburg,VfB Stuttgart,Jamie Leweling,0.11610007286071777
96,0.9009999847412109,0.37799999237060544,Finn Jeltsch,RightFoot,MissedShots,Freiburg,VfB Stuttgart,Tiago Tomás,0.07471202313899994
13,0.850999984741211,0.6819999694824219,Jamie Leweling,RightFoot,BlockedShot,VfB Stuttgart,St. Pauli,Chema Andres,0.04084787145256996
13,0.740999984741211,0.7780000305175782,Bilal El Khannouss,RightFoot,MissedShots,VfB Stuttgart,St. Pauli,Angelo Stiller,0.013694281689822674
16,0.7280000305175781,0.7369999694824219,Jamie Leweling,RightFoot,BlockedShot,VfB Stuttgart,St. Pauli,Bilal El Khannouss,0.011626302264630795
24,0.885,0.5,Angelo Stiller,LeftFoot,SavedShot,VfB Stuttgart,St. Pauli,,0.75777667760849
27,0.9030000305175782,0.45799999237060546,Angelo Stiller,LeftFoot,SavedShot,VfB Stuttgart,St. Pauli,Jamie Leweling,0.4533059895038605
34,0.7959999847412109,0.345,Bilal El Khannouss,RightFoot,BlockedShot,VfB Stuttgart,St. Pauli,,0.020917164161801338
35,0.9109999847412109,0.46700000762939453,Chema Andres,Head,MissedShots,VfB Stuttgart,St. Pauli,Maximilian Mittelstädt,0.05729570984840393
42,0.9590000152587891,0.41200000762939454,Ermedin Demirovic,RightFoot,Goal,VfB Stuttgart,St. Pauli,Jamie Leweling,0.46826377511024475
49,0.855,0.6270000076293946,Bilal El Khannouss,RightFoot,Goal,VfB Stuttgart,St. Pauli,Ermedin Demirovic,0.0855586901307106
55,0.8669999694824219,0.580999984741211,Ermedin Demirovic,RightFoot,SavedShot,VfB Stuttgart,St. Pauli,Tiago Tomás,0.26390546560287476
56,0.81,0.44799999237060545,Tiago Tomás,RightFoot,BlockedShot,VfB Stuttgart,St. Pauli,Maximilian Mittelstädt,0.06966286897659302
74,0.88,0.6790000152587891,Maximilian Mittelstädt,LeftFoot,MissedShots,VfB Stuttgart,St. Pauli,,0.06118452548980713
74,0.8019999694824219,0.37799999237060544,Jamie Leweling,RightFoot,BlockedShot,VfB Stuttgart,St. Pauli,Bilal El Khannouss,0.05403453856706619
79,0.85,0.28100000381469725,Lorenz Assignon,RightFoot,SavedShot,VfB Stuttgart,St. Pauli,Jamie Leweling,0.05373572185635567
88,0.7609999847412109,0.43,Lorenz Assignon,RightFoot,BlockedShot,VfB Stuttgart,St. Pauli,Chema Andres,0.04438943415880203
89,0.8540000152587891,0.629000015258789,Badredine Bouanani,LeftFoot,SavedShot,VfB Stuttgart,St. Pauli,Chris Führich,0.0950990542769432
92,0.87,0.355,Lorenz Assignon,RightFoot,SavedShot,VfB Stuttgart,St. Pauli,Bilal El Khannouss,0.23699215054512024
16,0.855,0.40599998474121096,Tiago Tomás,RightFoot,SavedShot,FC Cologne,VfB Stuttgart,,0.054501622915267944
16,0.96,0.5109999847412109,Ermedin Demirovic,Head,MissedShots,FC Cologne,VfB Stuttgart,Angelo Stiller,0.5066889524459839
17,0.8540000152587891,0.6659999847412109,Chris Führich,RightFoot,SavedShot,FC Cologne,VfB Stuttgart,Tiago Tomás,0.04381005838513374
27,0.885,0.5,Ermedin Demirovic,RightFoot,Goal,FC Cologne,VfB Stuttgart,,0.75777667760849
36,0.774000015258789,0.40299999237060546,Joshua Vagnoman,RightFoot,SavedShot,FC Cologne,VfB Stuttgart,Chris Führich,0.02653759904205799
40,0.685,0.5790000152587891,Julian Chabot,LeftFoot,BlockedShot,FC Cologne,VfB Stuttgart,Angelo Stiller,0.013587732799351215
49,0.8219999694824218,0.5559999847412109,Ermedin Demirovic,LeftFoot,BlockedShot,FC Cologne,VfB Stuttgart,Bilal El Khannouss,0.06388730555772781
50,0.8619999694824219,0.705,Bilal El Khannouss,RightFoot,BlockedShot,FC Cologne,VfB Stuttgart,Ramon Hendriks,0.034085508435964584
50,0.7980000305175782,0.475,Tiago Tomás,LeftFoot,BlockedShot,FC Cologne,VfB Stuttgart,Bilal El Khannouss,0.04552020877599716
51,0.9390000152587891,0.43599998474121093,Tiago Tomás,RightFoot,MissedShots,FC Cologne,VfB Stuttgart,Angelo Stiller,0.10069681704044342
56,0.909000015258789,0.534000015258789,Bilal El Khannouss,Head,BlockedShot,FC Cologne,VfB Stuttgart,Joshua Vagnoman,0.04872455075383186
69,0.9430000305175781,0.28399999618530275,Tiago Tomás,RightFoot,ShotOnPost,FC Cologne,VfB Stuttgart,Angelo Stiller,0.028352078050374985
76,0.8080000305175781,0.5679999923706055,Maximilian Mittelstädt,LeftFoot,MissedShots,FC Cologne,VfB Stuttgart,,0.0371580570936203
80,0.924000015258789,0.4109999847412109,Joshua Vagnoman,LeftFoot,Goal,FC Cologne,VfB Stuttgart,Angelo Stiller,0.4004323482513428
86,0.899000015258789,0.3129999923706055,Badredine Bouanani,LeftFoot,BlockedShot,FC Cologne,VfB Stuttgart,Nikolas Nartey,0.047627974301576614
5,0.9269999694824219,0.3220000076293945,Badredine Bouanani,LeftFoot,MissedShots,VfB Stuttgart,FC Heidenheim,Lorenz Assignon,0.20664362609386444
22,0.8169999694824219,0.46099998474121096,Jamie Leweling,RightFoot,MissedShots,VfB Stuttgart,FC Heidenheim,Bilal El Khannouss,0.1465858370065689
29,0.6930000305175781,0.6170000076293946,Julian Chabot,LeftFoot,SavedShot,VfB Stuttgart,FC Heidenheim,Luca Jaquez,0.014328512363135815
37,0.845999984741211,0.35900001525878905,Badredine Bouanani,LeftFoot,BlockedShot,VfB Stuttgart,FC Heidenheim,Ermedin Demirovic,0.05763603374361992
42,0.7180000305175781,0.34,Lorenz Assignon,RightFoot,SavedShot,VfB Stuttgart,FC Heidenheim,,0.010483778081834316
46,0.6980000305175781,0.31799999237060544,Luca Jaquez,RightFoot,MissedShots,VfB Stuttgart,FC Heidenheim,Chema Andres,0.01361792627722025
55,0.914000015258789,0.33799999237060546,Badredine Bouanani,LeftFoot,MissedShots,VfB Stuttgart,FC Heidenheim,Luca Jaquez,0.09031992405653
60,0.705,0.5020000076293946,Julian Chabot,LeftFoot,SavedShot,VfB Stuttgart,FC Heidenheim,Ameen Al Dakhil,0.014933515340089798
61,0.725,0.4909999847412109,Maximilian Mittelstädt,RightFoot,MissedShots,VfB Stuttgart,FC Heidenheim,,0.01411642786115408
62,0.875999984741211,0.40900001525878904,Tiago Tomás,RightFoot,MissedShots,VfB Stuttgart,FC Heidenheim,Bilal El Khannouss,0.058772601187229156
64,0.879000015258789,0.6819999694824219,Maximilian Mittelstädt,LeftFoot,BlockedShot,VfB Stuttgart,FC Heidenheim,,0.0510014072060585
64,0.8090000152587891,0.6090000152587891,Bilal El Khannouss,RightFoot,Goal,VfB Stuttgart,FC Heidenheim,Maximilian Mittelstädt,0.039839811623096466
71,0.7430000305175781,0.47299999237060547,Bilal El Khannouss,RightFoot,SavedShot,VfB Stuttgart,FC Heidenheim,Julian Chabot,0.02819177694618702
76,0.7180000305175781,0.3679999923706055,Jamie Leweling,RightFoot,SavedShot,VfB Stuttgart,FC Heidenheim,Bilal El Khannouss,0.015946198254823685
80,0.8119999694824219,0.4620000076293945,Tiago Tomás,LeftFoot,BlockedShot,VfB Stuttgart,FC Heidenheim,Ermedin Demirovic,0.07106894999742508
84,0.9019999694824219,0.5459999847412109,Ermedin Demirovic,LeftFoot,BlockedShot,VfB Stuttgart,FC Heidenheim,Jamie Leweling,0.11078119277954102
84,0.889000015258789,0.5540000152587891,Ermedin Demirovic,RightFoot,BlockedShot,VfB Stuttgart,FC Heidenheim,,0.12442877143621445
88,0.79,0.65,Jamie Leweling,RightFoot,MissedShots,VfB Stuttgart,FC Heidenheim,Bilal El Khannouss,0.05289590358734131
