minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
1,0.8830000305175781,0.539000015258789,Dzenan Pejcinovic,LeftFoot,MissedShots,FC Heidenheim,Wolfsburg,Aaron Zehnter,0.11992887407541275
9,0.7530000305175781,0.23299999237060548,Maximilian Arnold,LeftFoot,MissedShots,FC Heidenheim,Wolfsburg,Andreas Skov Olsen,0.012341576628386974
14,0.725999984741211,0.3679999923706055,Lovro Majer,LeftFoot,BlockedShot,FC Heidenheim,Wolfsburg,Andreas Skov Olsen,0.014251750893890858
19,0.7980000305175782,0.31,Andreas Skov Olsen,LeftFoot,Goal,FC Heidenheim,Wolfsburg,Patrick Wimmer,0.025283223018050194
21,0.759000015258789,0.33799999237060546,Kilian Fischer,RightFoot,MissedShots,FC Heidenheim,Wolfsburg,Lovro Majer,0.023555472493171692
23,0.7669999694824219,0.4209999847412109,Maximilian Arnold,LeftFoot,MissedShots,FC Heidenheim,Wolfsburg,Lovro Majer,0.032246723771095276
35,0.955999984741211,0.504000015258789,Dzenan Pejcinovic,Head,MissedShots,FC Heidenheim,Wolfsburg,Andreas Skov Olsen,0.5937451720237732
37,0.8180000305175781,0.4590000152587891,Patrick Wimmer,RightFoot,SavedShot,FC Heidenheim,Wolfsburg,,0.33576062321662903
38,0.8669999694824219,0.48,Patrick Wimmer,RightFoot,MissedShots,FC Heidenheim,Wolfsburg,Maximilian Arnold,0.06113231182098389
48,0.759000015258789,0.325,Maximilian Arnold,LeftFoot,SavedShot,FC Heidenheim,Wolfsburg,Andreas Skov Olsen,0.01656813733279705
57,0.96,0.5890000152587891,Dzenan Pejcinovic,Head,MissedShots,FC Heidenheim,Wolfsburg,Maximilian Arnold,0.03065447136759758
63,0.7290000152587891,0.505,Vinicius Souza,RightFoot,MissedShots,FC Heidenheim,Wolfsburg,,0.014504478313028812
65,0.9259999847412109,0.47700000762939454,Mattias Svanberg,Head,Goal,FC Heidenheim,Wolfsburg,Maximilian Arnold,0.4379305839538574
86,0.885,0.5,Mohammed Amoura,RightFoot,Goal,FC Heidenheim,Wolfsburg,,0.75777667760849
93,0.789000015258789,0.5829999923706055,Mattias Svanberg,RightFoot,MissedShots,FC Heidenheim,Wolfsburg,,0.10149850696325302
8,0.835999984741211,0.685,Aaron Zehnter,LeftFoot,Goal,Wolfsburg,Mainz 05,Lovro Majer,0.03381210193037987
20,0.8469999694824218,0.32,Lovro Majer,RightFoot,MissedShots,Wolfsburg,Mainz 05,,0.05682739242911339
